Date_Time,open,high,low,close,volume
2018-07-25,48.52,48.965,48.5,48.95,16335397
2018-07-24,48.75,49.1,48.555,48.67,19885451
2018-07-23,48.62,48.67,48.045,48.67,17990236
2018-07-20,48.49,48.705,48.36,48.52,17236248
2018-07-19,48.4,48.72,48.21,48.44,16656534
2018-07-18,48.79,49,48.4,48.64,19234709
2018-07-17,48.29,48.99,48.15,48.9,18823113
2018-07-16,48.62,48.62,47.95,48.46,22949744
2018-07-13,47.97,48.81,47.83,48.63,25772269
2018-07-12,47.79,48.2,47.75,48.15,24857935
2018-07-11,46.82,47.76,46.71,47.64,22802561
2018-07-10,46.83,47.36,46.68,46.99,27421994
2018-07-09,46.13,46.79,46.06,46.73,25125725
2018-07-06,45.46,46.19,45.27,46,20764300
2018-07-05,45.15,45.47,44.99,45.41,21916222
2018-07-03,44.99,44.99,44.524,44.72,16783349
2018-07-02,43.96,44.97,43.77,44.95,20655510
2018-06-29,44.04,44.53,43.75,44.06,22144908
2018-06-28,43.51,44.02,43.36,43.84,20918407
2018-06-27,44.57,44.74,43.44,43.45,26358995
2018-06-26,44.46,44.85,44.37,44.41,20717461
2018-06-25,43.57,44.465,43.4905,44.28,24640543
2018-06-22,43.2,44.3,43.16,44.1,30594322
2018-06-21,43.18,43.84,42.98,43.1,32635062
2018-06-20,43.51,44.79,42.57,42.82,59129004
2018-06-19,45.84,46.41,45.77,46.27,22764939
2018-06-18,45.82,46.6,45.46,46.52,21474089
2018-06-15,45.87,46.49,45.19,46.28,28120363
2018-06-14,47.01,47.02,45.66,45.9,37001333
2018-06-13,48.11,48.67,48.09,48.27,18053335
2018-06-12,48.21,48.59,48.155,48.45,14713577
2018-06-11,48.15,48.39,47.97,48.19,12521110
2018-06-08,47.41,48.38,47.41,48.18,14515405
2018-06-07,47.93,48.03,47.42,47.68,13714092
2018-06-06,47.42,47.805,47.1,47.75,13299094
2018-06-05,47.33,47.42,46.805,47.13,13430887
2018-06-04,47.48,47.57,47.23,47.32,12178443
2018-06-01,47.08,47.36,46.9,47.35,10863237
2018-05-31,46.93,47.17,46.71,46.72,13062416
2018-05-30,46.63,47.23,46.43,47.05,11906539
2018-05-29,46.55,46.8,46.035,46.26,12427752
2018-05-25,46.49,47.165,46.48,47,11354337
2018-05-24,46.66,46.94,46.14,46.46,12497658
2018-05-23,46.08,46.97,46.02,46.9,9204379
2018-05-22,47.24,47.54,46.31,46.37,18505113
2018-05-21,46.53,47.285,46.49,47.21,13416333
2018-05-18,46.69,46.79,46.24,46.32,13517330
2018-05-17,46.69,47.055,46.42,46.54,10162341
2018-05-16,46.93,46.93,46.45,46.73,9874195
2018-05-15,46.51,46.82,46.25,46.81,11304873
2018-05-14,46.81,47.26,46.69,46.82,9689474
2018-05-11,47.11,47.15,46.64,46.82,9498144
2018-05-10,46.8,47.1,46.61,46.93,10974199
2018-05-09,46.23,46.68,45.98,46.58,11822388
2018-05-08,45.88,45.99,45.55,45.94,9830551
2018-05-07,45.94,46.239,45.78,46.07,9006006
2018-05-04,44.93,45.92,44.8,45.71,10571831
2018-05-03,45.36,45.39,44.49,45.06,15370217
2018-05-02,45.89,46.08,45.47,45.51,10715198
2018-05-01,45.39,45.95,45.39,45.95,8838034
2018-04-30,45.66,46.015,45.56,45.67,13896566
2018-04-27,46.12,46.12,45.465,45.53,14420754
2018-04-26,46.09,46.21,45.9,45.96,12175800
2018-04-25,45.42,45.84,45.05,45.75,11764000
2018-04-24,45.93,46.365,45.28,45.53,13356952
2018-04-23,46.38,46.47,45.72,45.8,14904389
2018-04-20,46.47,46.62,45.98,46.23,15675644
2018-04-19,46.99,47.11,46.7,46.82,8563187
2018-04-18,46.68,47.29,46.68,47.08,11312882
2018-04-17,46.41,46.93,46.39,46.66,10762747
2018-04-16,46.03,46.39,45.595,46.05,11639037
2018-04-13,46.31,46.53,45.61,46.08,12493597
2018-04-12,45.69,46.17,45.645,45.88,13970339
2018-04-11,45.4,45.99,45.36,45.61,14911438
2018-04-10,45.55,46.07,45.46,45.82,17177233
2018-04-09,45.11,45.65,44.88,44.9,15199976
2018-04-06,45.51,45.75,44.6,44.83,13893643
2018-04-05,45.73,46.18,45.55,45.96,12312979
2018-04-04,44.07,45.62,44.04,45.51,18505940
2018-04-03,45.33,45.33,44.29,44.89,15734569
2018-04-02,45.65,45.85,44.42,45.01,15343314
2018-03-29,45.31,46.29,45.01,45.75,14256447
2018-03-28,45.28,45.36,44.51,44.98,22156930
2018-03-27,46.63,46.82,45,45.38,18566310
2018-03-26,45.55,46.64,45.385,46.48,19751401
2018-03-23,45.98,46.34,44.76,44.79,21296732
2018-03-22,46.72,47.0215,45.73,45.89,25449926
2018-03-21,47.29,48.06,47.01,47.02,34523536
2018-03-20,46.8,47.75,46.43,47.05,68331479
2018-03-19,52.43,52.58,51.51,51.95,23478850
2018-03-16,52.4,52.69,52.25,52.27,17883567
2018-03-15,52.22,52.665,52.11,52.37,11679999
2018-03-14,52.88,53.15,52.18,52.32,10877757
2018-03-13,53.24,53.48,52.34,52.58,12640710
2018-03-12,52.98,53.44,52.665,52.9,14076625
2018-03-09,52.35,53,52.2,52.97,15761851
2018-03-08,51.94,52.16,51.465,52.13,14106457
2018-03-07,51.06,51.81,51.03,51.72,11727303
2018-03-06,51.56,51.79,51.22,51.5,13907083
2018-03-05,49.9,51.49,49.85,51.29,18771549
2018-03-02,49.33,50.4,49.155,50.32,17290989
2018-03-01,50.96,50.96,49.415,49.71,16539779
2018-02-28,51.06,51.5,50.67,50.67,14586818
2018-02-27,51.07,51.4,50.535,50.73,14271722
2018-02-26,50.59,51.26,50.5,51.17,12510429
2018-02-23,49.79,50.57,49.62,50.5,8639157
