Date_Time,close,volume
2019-05-03,1185.5601,52277
2019-05-03,1185.02,18795
2019-05-03,1185.5601,11220
2019-05-03,1185.5601,9074
2019-05-03,1185.4301,25785
2019-05-03,1184.77,12851
2019-05-03,1184.54,10530
2019-05-03,1184.3199,8701
2019-05-03,1184.1899,7331
2019-05-03,1184.26,5794
2019-05-03,1184.55,4729
2019-05-03,1184.7966,5969
2019-05-03,1184.8055,7399
2019-05-03,1185,8924
2019-05-03,1184.9301,7078
2019-05-03,1185,4983
2019-05-03,1184.74,11246
2019-05-03,1184.725,21088
2019-05-03,1184.53,9511
2019-05-03,1184.24,7084
2019-05-03,1184.41,2913
2019-05-03,1184.38,4316
2019-05-03,1184.65,7471
2019-05-03,1184.15,5824
2019-05-03,1184.26,5369
2019-05-03,1184.5601,2813
2019-05-03,1184.8149,6277
2019-05-03,1184.38,2922
2019-05-03,1184.335,2281
2019-05-03,1183.5699,5668
2019-05-03,1184.1215,3473
2019-05-03,1183.6,5680
2019-05-03,1183.6,2256
2019-05-03,1183.5601,3732
2019-05-03,1183.0699,1714
2019-05-03,1183.05,4051
2019-05-03,1182.587,2483
2019-05-03,1182.194,2235
2019-05-03,1181.88,1419
2019-05-03,1182.0699,3666
2019-05-03,1182.15,1790
2019-05-03,1181.9827,4436
2019-05-03,1181.76,4424
2019-05-03,1181.9399,1533
2019-05-03,1181.84,2377
2019-05-03,1182,2052
2019-05-03,1181.4861,2981
2019-05-03,1181.74,618
2019-05-03,1181.8668,1536
2019-05-03,1182.25,1708
2019-05-03,1181.9301,3076
2019-05-03,1181.4908,1146
2019-05-03,1181.5,2065
2019-05-03,1181.86,2027
2019-05-03,1181.87,803
2019-05-03,1181.6899,7751
2019-05-03,1181.84,2544
2019-05-03,1182.51,2756
2019-05-03,1183.21,1410
2019-05-03,1182.998,2637
2019-05-03,1183.3949,3220
2019-05-03,1182.67,2582
2019-05-03,1182.8101,3039
2019-05-03,1183.78,3556
2019-05-03,1184.17,3260
2019-05-03,1184.6,1685
2019-05-03,1184.785,4060
2019-05-03,1185.0601,2959
2019-05-03,1185.16,5025
2019-05-03,1184.65,3460
2019-05-03,1185,3908
2019-05-03,1185.3101,1212
2019-05-03,1185.25,3551
2019-05-03,1184.75,1894
2019-05-03,1184.12,1680
2019-05-03,1184.04,5083
2019-05-03,1184.55,1947
2019-05-03,1184.5601,1046
2019-05-03,1184.47,1640
2019-05-03,1184.1904,2361
2019-05-03,1184.3199,3278
2019-05-03,1185.23,5154
2019-05-03,1185,3213
2019-05-03,1184.58,809
2019-05-03,1184.41,5173
2019-05-03,1184.6857,1668
2019-05-03,1184.8,2446
2019-05-03,1184.705,2064
2019-05-03,1184.6801,4256
2019-05-03,1184.8199,1137
2019-05-03,1184.75,4192
2019-05-03,1185.0225,230
2019-05-03,1185,4105
2019-05-03,1184.67,3399
2019-05-03,1184.73,1108
2019-05-03,1184.59,1913
2019-05-03,1184.36,6757
2019-05-03,1184.48,887
2019-05-03,1184.6899,2757
2019-05-03,1185.4146,1164
2019-05-03,1185.36,4290
2019-05-03,1185.87,2273
2019-05-03,1186.26,741
2019-05-03,1186.65,5670
2019-05-03,1186.4041,3119
2019-05-03,1186.3215,4317
2019-05-03,1186.58,2075
2019-05-03,1186.2642,2115
2019-05-03,1186.23,5269
2019-05-03,1185.6,2442
2019-05-03,1185.48,2224
2019-05-03,1185.59,2331
2019-05-03,1185.85,1150
2019-05-03,1185.5236,2038
2019-05-03,1185.0867,999
2019-05-03,1185.3596,3321
2019-05-03,1185.5909,1814
2019-05-03,1185.5,4808
2019-05-03,1185.7,784
2019-05-03,1185.8308,1442
2019-05-03,1185.6541,761
2019-05-03,1185.75,2010
2019-05-03,1185.7382,631
2019-05-03,1185.59,1375
2019-05-03,1185.5699,2730
2019-05-03,1186.09,385
2019-05-03,1186.09,3561
2019-05-03,1185.88,3940
2019-05-03,1185.66,2139
2019-05-03,1185.5364,5763
2019-05-03,1186.5,6748
2019-05-03,1186.5,2614
2019-05-03,1186.5549,2815
2019-05-03,1186.5244,1455
2019-05-03,1186.5048,1369
2019-05-03,1186.4581,1735
2019-05-03,1186.5098,1336
2019-05-03,1186.29,1205
2019-05-03,1185.99,4489
2019-05-03,1186.62,2680
2019-05-03,1186.59,2505
2019-05-03,1186.3199,3637
2019-05-03,1185.8223,1686
2019-05-03,1185.8051,4671
2019-05-03,1186.0795,3181
2019-05-03,1186.1801,4373
2019-05-03,1185.74,2315
2019-05-03,1185.61,2573
2019-05-03,1185.54,5209
2019-05-03,1185.45,430
2019-05-03,1185.45,1879
2019-05-03,1185.0985,2204
2019-05-03,1185.52,4685
2019-05-03,1184.934,3115
2019-05-03,1184.975,12481
2019-05-03,1184.73,7379
2019-05-03,1185.21,1510
2019-05-03,1185.36,12056
2019-05-03,1184.7,5556
2019-05-03,1184.5809,4284
2019-05-03,1184.52,7923
2019-05-03,1183.52,4685
2019-05-03,1183.9301,8106
2019-05-03,1183.4875,3758
2019-05-03,1183.4249,2394
2019-05-03,1183.13,6381
2019-05-03,1182.495,4370
2019-05-03,1182,2082
2019-05-03,1181.97,1975
2019-05-03,1182.175,4098
2019-05-03,1181.64,3630
2019-05-03,1181.75,7978
2019-05-03,1182.14,5858
2019-05-03,1182.8774,3482
2019-05-03,1183.08,4167
2019-05-03,1182.774,3103
2019-05-03,1183.04,10896
2019-05-03,1182.8101,3556
2019-05-03,1182.0806,2717
2019-05-03,1182.085,1185
2019-05-03,1182.03,1467
2019-05-03,1182.26,883
2019-05-03,1182.2136,8361
2019-05-03,1182.91,5019
2019-05-03,1182.66,1653
2019-05-03,1182.5673,5493
2019-05-03,1182.12,6335
2019-05-03,1182.045,5075
2019-05-03,1181.63,2787
2019-05-03,1181.3101,3671
2019-05-03,1181.37,4445
2019-05-03,1180.8365,1640
2019-05-03,1180.9399,2989
2019-05-03,1180.64,3772
2019-05-03,1181.3,1573
2019-05-03,1181.4,646
2019-05-03,1181.49,2787
2019-05-03,1180.97,3442
2019-05-03,1181.6051,1342
2019-05-03,1181.7412,6172
2019-05-03,1181.34,2360
2019-05-03,1180.86,4814
2019-05-03,1181.13,3345
